Frame,Time,Object,VertexID,X,Y,Z,R,G,B,dX,dY,dZ,ID_diff
0,0.0,U3DMesh,0,-338.65456325998827,269.1793664383992,998.2182340607436,177,170,164,,,,
1,1237.0295633210312,U3DMesh,0,-348.271049553361,275.1630147626289,1001.3159406056093,177,170,164,-9.616486293372759,5.983648324229705,3.097706544865673,0.0
2,2474.0591266420624,U3DMesh,0,-357.43230864851114,273.4449604201029,1003.7013894951531,177,170,164,-9.161259095150115,-1.7180543425259884,2.3854488895437953,0.0
3,3711.088689963093,U3DMesh,0,-365.97830029167324,265.25649548393017,1005.3291133740572,177,170,164,-8.545991643162097,-8.18846493617275,1.6277238789041348,0.0
4,4948.118253284125,U3DMesh,0,-373.7489842290822,251.8289120272198,1006.1536448870044,177,170,164,-7.7706839374089896,-13.42758345671038,0.8245315129471464,0.0
5,6185.147816605156,U3DMesh,0,-380.58432020697364,234.3935021230811,1006.1295166786767,177,170,164,-6.835335977891418,-17.43540990413868,-0.024128208327624634,0.0
6,7422.177379926186,U3DMesh,0,-386.51573093040827,212.71044184343748,1004.9025261448053,177,170,164,-5.931410723434624,-21.683060279643627,-1.226990533871458,0.0
7,8659.206943247218,U3DMesh,0,-391.26238664674315,189.4851936121724,1002.7046059111831,177,170,164,-4.746655716334885,-23.225248231265084,-2.197920233622199,0.0
8,9896.23650656825,U3DMesh,0,-394.5966581297892,167.86073933965463,999.9129088063896,177,170,164,-3.3342714830460523,-21.624454272517767,-2.7916971047934567,0.0
9,11133.26606988928,U3DMesh,0,-395.6214647852248,151.54093685520397,996.9884961377422,177,170,164,-1.0248066554356114,-16.319802484450662,-2.924412668647392,0.0
10,12370.295633210311,U3DMesh,0,-393.6363094500919,142.55547420118108,993.9276412192274,177,170,164,1.9851553351329017,-8.985462654022882,-3.060854918514792,0.0
11,13607.325196531343,U3DMesh,0,-387.543959915911,142.12956488945272,989.8898029686296,177,170,164,6.092349534180926,-0.4259093117283612,-4.037838250597815,0.0
12,14844.354759852373,U3DMesh,0,-378.3036843615622,148.99468756617554,985.568658445609,177,170,164,9.240275554348784,6.8651226767228195,-4.321144523020621,0.0
13,16081.384323173404,U3DMesh,0,-366.9905312421803,161.71599518975265,981.5932414415922,177,170,164,11.313153119381923,12.721307623577104,-3.9754170040167764,0.0
14,17318.413886494436,U3DMesh,0,-355.24706048679997,178.19768824841043,978.8612412627937,177,170,164,11.743470755380315,16.481693058657783,-2.7320001787985575,0.0
15,18555.443449815466,U3DMesh,0,-344.71396421656954,196.45542029433568,977.8331566417252,177,170,164,10.53309627023043,18.257732045925252,-1.0280846210685013,0.0
16,19792.4730131365,U3DMesh,0,-336.8899283188796,213.02452229718847,978.4395348908826,177,170,164,7.824035897689953,16.569102002852787,0.6063782491573875,0.0
17,21029.50257645753,U3DMesh,0,-331.67476462051906,228.74204157104663,980.885970312424,177,170,164,5.215163698360527,15.717519273858159,2.4464354215414232,0.0
18,22266.53213977856,U3DMesh,0,-330.16342377658964,242.4238913524287,984.9136546830986,177,170,164,1.5113408439294176,13.681849781382084,4.027684370674592,0.0
19,23503.56170309959,U3DMesh,0,-331.94378179053905,254.42392077598407,989.9439783270884,177,170,164,-1.7803580139494102,12.000029423555361,5.0303236439898456,0.0
20,24740.591266420623,U3DMesh,0,-336.32089060036833,264.205282415449,995.001073388016,177,170,164,-4.377108809829281,9.781361639464933,5.057095060927622,0.0
21,25977.620829741656,U3DMesh,0,-341.95574701002636,270.6879145002587,998.7387377959296,177,170,164,-5.634856409658028,6.4826320848097225,3.7376644079135986,0.0
22,27214.650393062686,U3DMesh,0,-348.88282137684575,273.3569569028005,1001.7352493372777,177,170,164,-6.927074366819397,2.669042402541777,2.9965115413480135,0.0
23,28451.679956383712,U3DMesh,0,-356.57775751885686,270.93428952264776,1003.7795940904458,177,170,164,-7.694936142011102,-2.4226673801527454,2.0443447531681613,0.0
24,29688.709519704746,U3DMesh,0,-364.7722206484426,263.6035908013782,1005.2025370193911,177,170,164,-8.194463129585756,-7.330698721269584,1.4229429289453037,0.0
25,30925.73908302578,U3DMesh,0,-373.0921796318776,251.24604062400607,1006.0854572486662,177,170,164,-8.319958983435015,-12.357550177372104,0.8829202292751006,0.0
26,32162.76864634681,U3DMesh,0,-380.58432020697364,234.3935021230811,1006.1295166786767,177,170,164,-7.492140575096016,-16.852538500924965,0.04405943001052037,0.0
27,33399.798209667846,U3DMesh,0,-386.51573093040827,212.71044184343748,1004.9025261448053,177,170,164,-5.931410723434624,-21.683060279643627,-1.226990533871458,0.0
28,34636.82777298887,U3DMesh,0,-391.26238664674315,189.4851936121724,1002.7046059111831,177,170,164,-4.746655716334885,-23.225248231265084,-2.197920233622199,0.0
29,35873.857336309906,U3DMesh,0,-394.5966581297892,167.86073933965463,999.9129088063896,177,170,164,-3.3342714830460523,-21.624454272517767,-2.7916971047934567,0.0
30,37110.88689963093,U3DMesh,0,-395.6214647852248,151.54093685520397,996.9884961377422,177,170,164,-1.0248066554356114,-16.319802484450662,-2.924412668647392,0.0
31,38347.916462951966,U3DMesh,0,-393.6363094500919,142.55547420118108,993.9276412192274,177,170,164,1.9851553351329017,-8.985462654022882,-3.060854918514792,0.0
32,39584.946026273,U3DMesh,0,-387.543959915911,142.12956488945272,989.8898029686296,177,170,164,6.092349534180926,-0.4259093117283612,-4.037838250597815,0.0
33,40821.975589594025,U3DMesh,0,-378.3036843615622,148.99468756617554,985.568658445609,177,170,164,9.240275554348784,6.8651226767228195,-4.321144523020621,0.0
34,42059.005152915066,U3DMesh,0,-366.9905312421803,161.71599518975265,981.5932414415922,177,170,164,11.313153119381923,12.721307623577104,-3.9754170040167764,0.0
35,43296.03471623609,U3DMesh,0,-355.24706048679997,178.19768824841043,978.8612412627937,177,170,164,11.743470755380315,16.481693058657783,-2.7320001787985575,0.0
36,44533.06427955712,U3DMesh,0,-344.71396421656954,196.45542029433568,977.8331566417252,177,170,164,10.53309627023043,18.257732045925252,-1.0280846210685013,0.0
